,tile
1,Amnesty POI-1-1-1
2,Amnesty POI-1-1-2
3,Amnesty POI-1-1-3
4,Amnesty POI-1-2-1
5,Amnesty POI-1-2-2
6,Amnesty POI-1-2-3
7,Amnesty POI-1-3-1
8,Amnesty POI-1-3-2
9,Amnesty POI-1-3-3
10,Amnesty POI-2-1-1
11,Amnesty POI-2-1-2
12,Amnesty POI-2-1-3
13,Amnesty POI-2-2-1
14,Amnesty POI-2-2-2
15,Amnesty POI-2-2-3
16,Amnesty POI-2-3-1
17,Amnesty POI-2-3-2
18,Amnesty POI-2-3-3
19,Amnesty POI-3-1-1
20,Amnesty POI-3-1-2
21,Amnesty POI-3-1-3
22,Amnesty POI-3-2-1
23,Amnesty POI-3-2-2
24,Amnesty POI-3-2-3
25,Amnesty POI-3-3-1
26,Amnesty POI-3-3-2
27,Amnesty POI-3-3-3
28,Amnesty POI-4-1-1
29,Amnesty POI-4-1-2
30,Amnesty POI-4-1-3
31,Amnesty POI-4-2-1
32,Amnesty POI-4-2-2
33,Amnesty POI-4-2-3
34,Amnesty POI-4-3-1
35,Amnesty POI-4-3-2
36,Amnesty POI-4-3-3
37,Amnesty POI-5-1-1
38,Amnesty POI-5-1-2
39,Amnesty POI-5-1-3
40,Amnesty POI-5-2-1
41,Amnesty POI-5-2-2
42,Amnesty POI-5-2-3
43,Amnesty POI-5-3-1
44,Amnesty POI-5-3-2
45,Amnesty POI-5-3-3
46,Amnesty POI-6-1-1
47,Amnesty POI-6-1-2
48,Amnesty POI-6-1-3
49,Amnesty POI-6-2-1
50,Amnesty POI-6-2-2
51,Amnesty POI-6-2-3
52,Amnesty POI-6-3-1
53,Amnesty POI-6-3-2
54,Amnesty POI-6-3-3
55,Amnesty POI-7-1-1
56,Amnesty POI-7-1-2
57,Amnesty POI-7-1-3
58,Amnesty POI-7-2-1
59,Amnesty POI-7-2-2
60,Amnesty POI-7-2-3
61,Amnesty POI-7-3-1
62,Amnesty POI-7-3-2
63,Amnesty POI-7-3-3
64,Amnesty POI-8-1-1
65,Amnesty POI-8-1-2
66,Amnesty POI-8-1-3
67,Amnesty POI-8-2-1
68,Amnesty POI-8-2-2
69,Amnesty POI-8-2-3
70,Amnesty POI-8-3-1
71,Amnesty POI-8-3-2
72,Amnesty POI-8-3-3
73,Amnesty POI-9-1-1
74,Amnesty POI-9-1-2
75,Amnesty POI-9-1-3
76,Amnesty POI-9-2-1
77,Amnesty POI-9-2-2
78,Amnesty POI-9-2-3
79,Amnesty POI-9-3-1
80,Amnesty POI-9-3-2
81,Amnesty POI-9-3-3
82,Amnesty POI-10-1-1
83,Amnesty POI-10-1-2
84,Amnesty POI-10-1-3
85,Amnesty POI-10-2-1
86,Amnesty POI-10-2-2
87,Amnesty POI-10-2-3
88,Amnesty POI-10-3-1
89,Amnesty POI-10-3-2
90,Amnesty POI-10-3-3
91,Amnesty POI-11-1-1
92,Amnesty POI-11-1-2
93,Amnesty POI-11-1-3
94,Amnesty POI-11-2-1
95,Amnesty POI-11-2-2
96,Amnesty POI-11-2-3
97,Amnesty POI-11-3-1
98,Amnesty POI-11-3-2
99,Amnesty POI-11-3-3
100,Amnesty POI-13-1-1
101,Amnesty POI-13-1-2
102,Amnesty POI-13-1-3
103,Amnesty POI-13-2-1
104,Amnesty POI-13-2-2
105,Amnesty POI-13-2-3
106,Amnesty POI-13-3-1
107,Amnesty POI-13-3-2
108,Amnesty POI-13-3-3
109,Amnesty POI-14-1-1
110,Amnesty POI-14-1-2
111,Amnesty POI-14-1-3
112,Amnesty POI-14-2-1
113,Amnesty POI-14-2-2
114,Amnesty POI-14-2-3
115,Amnesty POI-14-3-1
116,Amnesty POI-14-3-2
117,Amnesty POI-14-3-3
118,Amnesty POI-15-1-1
119,Amnesty POI-15-1-2
120,Amnesty POI-15-1-3
121,Amnesty POI-15-2-1
122,Amnesty POI-15-2-2
123,Amnesty POI-15-2-3
124,Amnesty POI-15-3-1
125,Amnesty POI-15-3-2
126,Amnesty POI-15-3-3
127,Amnesty POI-16-1-1
128,Amnesty POI-16-1-2
129,Amnesty POI-16-1-3
130,Amnesty POI-16-2-1
131,Amnesty POI-16-2-2
132,Amnesty POI-16-2-3
133,Amnesty POI-16-3-1
134,Amnesty POI-16-3-2
135,Amnesty POI-16-3-3
136,Amnesty POI-17-1-1
137,Amnesty POI-17-1-2
138,Amnesty POI-17-1-3
139,Amnesty POI-17-2-1
140,Amnesty POI-17-2-2
141,Amnesty POI-17-2-3
142,Amnesty POI-17-3-1
143,Amnesty POI-17-3-2
144,Amnesty POI-17-3-3
145,Amnesty POI-18-1-1
146,Amnesty POI-18-1-2
147,Amnesty POI-18-1-3
148,Amnesty POI-18-2-1
149,Amnesty POI-18-2-2
150,Amnesty POI-18-2-3
151,Amnesty POI-18-3-1
152,Amnesty POI-18-3-2
153,Amnesty POI-18-3-3
154,Amnesty POI-19-1-1
155,Amnesty POI-19-1-2
156,Amnesty POI-19-1-3
157,Amnesty POI-19-2-1
158,Amnesty POI-19-2-2
159,Amnesty POI-19-2-3
160,Amnesty POI-19-3-1
161,Amnesty POI-19-3-2
162,Amnesty POI-19-3-3
163,Amnesty POI-20-1-1
164,Amnesty POI-20-1-2
165,Amnesty POI-20-1-3
166,Amnesty POI-20-2-1
167,Amnesty POI-20-2-2
168,Amnesty POI-20-2-3
169,Amnesty POI-20-3-1
170,Amnesty POI-20-3-2
171,Amnesty POI-20-3-3
172,Amnesty POI-21-1-1
173,Amnesty POI-21-1-2
174,Amnesty POI-21-1-3
175,Amnesty POI-21-2-1
176,Amnesty POI-21-2-2
177,Amnesty POI-21-2-3
178,Amnesty POI-21-3-1
179,Amnesty POI-21-3-2
180,Amnesty POI-21-3-3
181,Amnesty POI-22-1-1
182,Amnesty POI-22-1-2
183,Amnesty POI-22-1-3
184,Amnesty POI-22-2-1
185,Amnesty POI-22-2-2
186,Amnesty POI-22-2-3
187,Amnesty POI-22-3-1
188,Amnesty POI-22-3-2
189,Amnesty POI-22-3-3
190,ASMSpotter-10-1-1
191,ASMSpotter-10-1-2
192,ASMSpotter-10-1-3
193,ASMSpotter-10-2-1
194,ASMSpotter-10-2-2
195,ASMSpotter-10-2-3
196,ASMSpotter-10-3-1
197,ASMSpotter-10-3-2
198,ASMSpotter-10-3-3
199,ASMSpotter-11-1-1
200,ASMSpotter-11-1-2
201,ASMSpotter-11-1-3
202,ASMSpotter-1-1-2
203,ASMSpotter-11-2-1
204,ASMSpotter-11-2-2
205,ASMSpotter-11-2-3
206,ASMSpotter-1-1-3
207,ASMSpotter-11-3-1
208,ASMSpotter-11-3-2
209,ASMSpotter-11-3-3
210,ASMSpotter-1-2-1
211,ASMSpotter-12-1-1
212,ASMSpotter-12-1-2
213,ASMSpotter-12-1-3
214,ASMSpotter-1-2-2
215,ASMSpotter-12-2-1
216,ASMSpotter-12-2-2
217,ASMSpotter-12-2-3
